Date,Time,URL,ID,Target,Manual
2023-09-04 00:00:00,08:00:26,https://blinks.bloomberg.com/news/stories/S0G60QGQD79C,1,Amazon,-1
2023-09-04 00:00:00,08:00:26,https://blinks.bloomberg.com/news/stories/S0G60QGQD79C,1,Alphabet,0
2023-09-04 00:00:00,08:00:26,https://blinks.bloomberg.com/news/stories/S0G60QGQD79C,1,Nvidia,0
2023-09-04 00:00:00,10:02:48,https://blinks.bloomberg.com/news/stories/S0GBOOGFLIIO,2,Alphabet,-1
2023-09-04 00:00:00,10:02:48,https://blinks.bloomberg.com/news/stories/S0GBOOGFLIIO,2,Amazon,-1
2023-09-05 00:00:00,13:00:21,https://blinks.bloomberg.com/news/stories/S0IEKLT0AFB4,3,Amazon,-1
2023-09-06 00:00:00,01:30:16,https://blinks.bloomberg.com/news/stories/S0JBPZT0G1KW,4,Amazon,-1
2023-09-06 00:00:00,23:06:18,https://blinks.bloomberg.com/news/stories/S0L1AIGF4NPC,5,Amazon,0
2023-09-08 00:00:00,03:57:12,https://blinks.bloomberg.com/news/stories/S0N9FCT1UM0W,6,Amazon,0
2023-09-08 00:00:00,17:00:05,https://blinks.bloomberg.com/news/stories/S0O9O5GQITJ5,7,Amazon,1
2023-09-11 00:00:00,21:45:52,https://blinks.bloomberg.com/news/stories/S0U6WGT1UM0W,8,Amazon,-1
2023-09-12 00:00:00,12:00:08,https://blinks.bloomberg.com/news/stories/S0VAG8T1UM0W,9,Amazon,-1
2023-09-12 00:00:00,13:25:43,https://blinks.bloomberg.com/news/stories/S0UYYNT1UM0W,10,Amazon,-1
2023-09-12 00:00:00,15:01:00,https://blinks.bloomberg.com/news/stories/S0U85HDWLU69,11,Amazon,1
2023-09-12 00:00:00,17:58:22,https://blinks.bloomberg.com/news/stories/S0U85HDWLU69,12,Amazon,0
2023-09-13 00:00:00,01:13:42,https://blinks.bloomberg.com/news/stories/S0UCHFDWLU68,13,Amazon,1
2023-09-13 00:00:00,03:55:56,https://blinks.bloomberg.com/news/stories/S0WI91T1UM0W,14,Amazon,1
